Year_Birth,Education,Divorced,Widow,Absurd,YOLO,Single,Married,Income,Kidhome,Teenhome,Dt_Customer,Recency,MntWines,MntFruits,MntMeatProducts,MntFishProducts,MntSweetProducts,MntGoldProds,NumDealsPurchases,NumWebPurchases,NumCatalogPurchases,NumStorePurchases,NumWebVisitsMonth,AcceptedCmp3,AcceptedCmp4,AcceptedCmp5,AcceptedCmp1,AcceptedCmp2,Complain,Z_CostContact,Z_Revenue,Response
4.32,3,0,0,0,0,0,1,-0.57,0,0,0.0,2.07,0.29,-0.61,0.21,1.33,0.72,0.66,-0.69,-0.03,0.36,-0.24,8,0,0,0,0,0,0,3,11,0
4.17,3,0,0,0,0,0,1,-1.92,1,0,2.5,2.12,0.0,-0.64,5.0,0.02,0.02,0.01,6.56,-1.47,5.0,-1.78,1,0,0,0,0,0,0,3,11,0
2.72,5,0,0,0,0,0,1,0.27,0,1,0.0,3.18,2.9,-0.66,0.25,0.0,0.0,0.26,0.35,-0.75,0.54,0.99,8,0,1,0,0,0,0,3,11,0
2.96,5,0,0,0,0,0,1,0.53,0,1,5.0,0.0,1.29,-0.66,0.3,0.41,0.61,0.07,0.35,0.69,0.36,0.99,4,0,0,0,0,0,0,3,11,0
2.82,3,0,0,0,0,0,1,-0.43,0,1,2.5,3.48,0.9,-0.59,0.08,0.75,0.11,1.37,2.42,1.05,0.18,-0.24,8,0,0,0,0,0,0,3,11,0
3.69,3,0,0,0,0,1,0,-1.29,0,0,2.5,4.49,0.02,-0.56,0.07,0.29,0.23,0.18,-0.17,-0.75,0.18,-0.86,7,0,0,0,0,0,0,3,11,0
4.03,3,0,0,0,0,0,1,0.07,1,1,2.5,0.2,0.58,-0.56,0.09,0.06,0.11,0.57,0.87,0.33,0.18,-0.55,7,0,0,0,0,0,0,3,11,0
4.51,3,0,0,0,0,1,0,-2.02,1,0,2.5,0.96,0.02,-0.64,0.01,0.06,5.0,5.0,-1.2,8.25,0.0,-1.78,1,0,0,0,0,0,0,3,11,0
4.66,3,0,0,0,0,0,1,-0.52,1,0,2.5,1.31,0.12,-0.61,0.12,0.39,0.4,0.14,-0.17,-0.75,0.18,-0.55,3,0,0,0,0,0,0,3,11,0
3.5,5,0,0,0,0,0,1,1.29,0,0,2.5,4.85,2.29,1.85,2.32,0.41,1.25,0.0,-0.69,0.69,1.61,1.3,2,0,0,1,0,0,0,3,11,0
4.66,4,1,0,0,0,0,0,-1.59,0,0,5.0,1.72,0.03,-0.56,0.03,0.04,0.04,0.06,-0.17,-0.39,0.0,-0.86,5,0,0,0,0,0,0,3,11,0
3.4,4,0,0,0,0,0,1,-0.51,0,0,2.5,2.83,0.38,-0.23,0.13,0.66,0.42,1.23,-0.69,-0.75,0.89,-0.86,3,0,0,0,0,0,0,3,11,0
3.74,3,0,0,0,0,0,1,-0.44,0,1,0.0,1.57,0.37,-0.66,0.01,0.04,0.0,0.04,-0.17,-0.75,0.18,-0.55,5,0,1,0,0,0,0,3,11,0
2.86,5,1,0,0,0,0,0,-0.2,0,2,0.0,0.4,0.32,-0.36,0.28,0.64,0.42,0.59,1.9,-0.03,0.18,0.06,6,0,0,0,0,0,0,3,11,1
2.57,4,0,0,0,0,0,1,0.66,0,0,2.5,0.2,1.61,0.19,1.37,2.3,1.29,0.3,-0.69,-0.39,0.89,0.99,7,0,0,0,0,0,0,3,11,0
2.82,4,0,0,0,0,1,0,-0.09,1,1,2.5,2.78,0.13,-0.66,0.06,0.04,0.02,0.04,-0.69,-0.75,0.0,-0.86,7,0,0,0,0,0,0,3,11,0
3.74,5,0,0,0,0,0,1,0.61,0,1,2.5,1.87,2.35,-0.23,0.44,0.0,0.15,0.48,1.38,0.33,1.07,1.91,2,0,0,0,0,0,0,3,11,0
4.03,2,0,0,0,0,0,1,-1.09,1,0,2.5,3.84,0.02,-0.59,0.04,0.29,0.13,0.5,0.35,-0.39,0.18,-1.17,7,0,0,0,0,0,0,3,11,0
3.88,3,0,1,0,0,0,0,-0.36,0,1,5.0,5.0,0.18,-0.66,0.02,0.04,0.0,0.06,-0.17,-1.11,0.18,-0.86,5,0,0,0,0,0,0,3,11,0
2.43,5,1,0,0,0,0,0,-0.11,0,0,2.5,2.68,1.46,-0.46,0.6,3.09,0.93,0.58,-0.17,1.05,1.79,-0.24,6,1,0,0,0,0,0,3,11,1
4.22,3,0,0,0,0,0,1,1.11,0,1,2.5,0.15,1.41,1.25,1.55,1.58,3.38,1.41,-0.17,1.41,1.07,-0.24,4,0,0,0,0,0,0,3,11,0
4.47,4,0,0,0,0,0,1,-1.22,1,0,2.5,4.44,0.04,-0.64,0.08,0.06,0.0,0.1,-0.17,-0.75,0.0,-0.86,8,0,0,0,0,0,0,3,11,0
3.11,3,0,0,0,0,0,1,-1.16,0,1,0.0,0.2,0.03,-0.66,0.02,0.06,0.02,0.04,-0.69,-1.47,0.0,-0.86,5,0,0,0,0,0,0,3,11,0
3.2,5,0,0,0,0,1,0,-2.02,0,0,2.5,4.04,0.27,-0.38,0.14,0.06,0.04,0.54,-0.69,-1.11,0.54,-0.55,2,0,0,0,0,0,0,3,11,0
3.98,4,0,0,0,0,0,1,-1.73,1,0,2.5,0.96,0.01,-0.64,0.03,0.06,0.04,0.17,0.35,-0.75,0.0,-0.86,5,0,0,0,0,0,0,3,11,0
4.03,3,0,0,0,0,1,0,1.1,0,0,5.0,3.64,0.41,3.46,0.77,4.38,0.57,2.4,-0.69,-0.75,0.71,0.99,1,0,0,0,0,0,0,3,11,0
5.0,2,0,0,0,0,0,1,-1.73,0,0,0.0,1.21,0.01,-0.21,0.04,0.29,0.42,0.69,0.35,-0.39,0.18,-0.86,9,0,0,0,0,0,0,3,11,1
3.64,3,0,0,0,0,0,1,-0.39,1,0,2.5,4.65,0.04,-0.51,0.04,0.06,0.1,0.18,-0.69,-0.75,0.0,-1.17,10,0,0,0,0,0,0,3,11,0
2.82,3,0,0,0,0,1,0,-2.02,2,1,5.0,4.85,0.16,-0.54,0.14,0.12,0.19,0.1,0.35,-0.75,0.18,-0.55,6,0,0,0,0,0,0,3,11,0
2.96,5,0,0,0,0,0,1,0.81,1,1,0.0,1.97,2.77,0.6,0.92,0.97,0.72,0.52,3.46,0.33,0.36,1.91,8,0,0,0,0,0,0,3,11,0
3.11,3,0,1,0,0,0,0,0.54,0,1,5.0,1.46,0.82,-0.18,0.36,0.71,1.27,0.19,-0.69,-0.03,0.36,1.3,2,0,0,0,0,0,0,3,11,0
3.45,4,0,0,0,0,0,1,1.07,0,0,0.0,0.1,2.18,0.27,2.26,0.52,3.17,0.44,-0.69,0.69,1.61,2.22,3,0,0,0,0,0,0,3,11,0
4.08,3,0,0,0,0,1,0,-0.62,1,0,2.5,2.73,0.04,-0.51,0.06,0.58,0.02,0.04,-0.17,-0.75,0.0,-0.86,7,0,0,0,0,0,0,3,11,0
4.08,3,1,0,0,0,0,0,1.21,0,0,5.0,2.73,1.71,2.36,1.59,3.01,0.76,3.33,-0.69,-0.03,1.61,0.37,1,1,0,0,1,0,0,3,11,1
4.13,3,0,0,0,0,0,1,0.57,1,1,2.5,2.88,1.1,-0.44,0.36,0.23,0.46,1.51,2.42,-0.03,0.36,1.3,3,0,0,0,0,0,0,3,11,0
3.01,4,0,0,0,0,0,1,1.2,0,0,0.0,2.78,3.3,0.62,1.25,3.47,2.28,2.62,-0.69,-0.39,1.79,2.22,1,0,0,1,0,0,0,3,11,1
3.54,3,1,0,0,0,0,0,0.73,0,0,2.5,1.52,0.99,0.22,1.4,2.34,2.28,0.55,-0.69,0.33,0.89,1.3,3,0,0,0,0,0,0,3,11,1
4.61,3,0,0,0,0,1,0,-0.93,1,0,5.0,1.57,0.04,-0.66,0.02,0.04,0.02,0.07,-0.69,-1.11,0.0,-0.55,3,0,0,0,0,0,0,3,11,0
4.32,3,0,0,0,0,1,0,-2.02,1,0,2.5,2.88,0.04,-0.59,0.06,0.04,0.04,0.08,-0.17,-0.75,0.0,-0.86,6,0,0,0,0,0,0,3,11,0
3.64,5,0,0,0,0,0,1,0.17,0,1,5.0,3.18,1.5,-0.66,0.08,0.0,0.0,0.59,0.35,1.41,0.36,0.06,7,0,0,0,0,0,0,3,11,0
4.32,4,0,0,0,0,1,0,0.94,0,0,2.5,0.61,2.38,-0.01,1.56,1.33,0.25,1.1,-0.69,-0.39,1.07,1.6,1,0,1,1,0,0,0,3,11,1
3.98,3,0,0,0,0,0,1,0.58,1,1,0.0,0.91,1.51,-0.21,0.3,0.31,0.34,0.08,0.87,-0.03,0.36,1.91,3,0,0,0,0,0,0,3,11,0
2.86,3,0,0,0,0,1,0,0.4,0,1,2.5,1.31,1.75,-0.49,0.39,0.71,0.27,2.33,0.87,1.41,0.36,1.3,7,0,0,0,0,0,0,3,11,0
2.82,5,0,1,0,0,0,0,0.62,0,1,2.5,0.4,1.83,-0.66,0.14,0.0,0.11,0.08,-0.69,1.05,0.54,0.68,5,0,0,0,0,0,0,3,11,0
2.67,3,0,0,0,0,0,1,0.74,0,0,2.5,1.46,1.33,0.34,1.06,2.3,2.32,0.41,-0.69,1.05,0.71,-0.55,4,0,0,0,0,0,0,3,11,0
3.79,3,0,0,0,0,0,1,-1.01,1,0,2.5,3.79,0.0,-0.59,0.02,0.06,0.11,0.21,-0.69,-1.11,0.18,-1.17,7,0,0,0,0,0,0,3,11,1
3.59,3,0,0,0,0,0,1,-0.75,1,1,5.0,0.0,0.03,-0.66,0.0,0.0,0.0,0.0,-0.69,-1.11,0.0,-1.17,7,0,0,0,0,0,0,3,11,0
4.17,2,0,0,0,0,1,0,1.43,0,1,5.0,0.96,2.3,-0.31,0.9,3.88,0.46,0.52,-0.69,2.49,1.79,1.3,5,1,0,0,1,0,0,3,11,1
3.16,3,0,0,0,0,0,1,0.68,0,1,2.5,0.2,0.83,0.57,0.46,0.14,1.56,1.51,-0.69,0.33,0.36,1.3,4,0,0,0,0,0,0,3,11,0
3.74,3,0,0,0,0,0,1,0.9,1,2,2.5,4.55,2.87,0.82,1.41,1.12,0.55,1.01,2.42,-0.75,0.89,-0.24,5,0,0,0,0,0,0,3,11,0
2.96,4,0,0,0,0,0,1,0.6,0,0,0.0,0.05,1.66,0.24,1.33,3.65,1.14,0.17,0.35,-0.03,1.43,0.06,3,0,0,0,0,0,0,3,11,0
3.88,2,0,0,0,0,0,1,-2.02,1,0,0.0,1.26,0.08,-0.59,0.12,0.33,0.08,0.23,0.35,-0.39,0.0,-0.86,8,0,0,0,0,0,0,3,11,0
3.2,3,0,0,0,0,0,1,0.52,0,1,2.5,1.46,0.86,2.03,0.84,1.62,0.7,1.19,0.87,2.13,0.54,2.22,7,0,0,0,0,0,0,3,11,0
3.98,5,0,0,0,0,0,1,0.35,1,1,2.5,4.44,1.89,-0.51,0.19,0.0,0.11,0.26,1.38,1.77,0.36,0.68,7,0,1,0,0,0,0,3,11,0
2.86,3,0,0,0,0,0,1,-0.91,0,0,5.0,2.93,0.05,-0.41,0.04,0.08,0.29,0.12,-0.69,-0.75,0.18,-0.55,2,0,0,0,0,0,0,3,11,0
4.08,3,1,0,0,0,0,0,-0.45,1,0,0.0,3.43,0.01,-0.64,0.02,0.04,0.02,0.01,-0.69,-1.11,0.0,-1.17,6,0,0,0,0,0,0,3,11,0
3.83,4,0,0,0,0,0,1,0.92,0,0,0.0,1.72,2.41,2.13,2.68,1.87,0.34,0.25,-0.69,1.05,1.07,-0.24,5,0,0,0,0,0,0,3,11,1
4.03,3,0,0,0,0,1,0,0.94,0,0,0.0,2.02,3.46,1.98,2.26,2.64,2.0,0.7,-1.2,0.33,1.43,0.99,4,1,0,0,0,0,0,3,11,1
4.03,2,0,0,0,0,0,1,-0.99,0,0,2.5,0.61,0.0,-0.66,0.01,0.0,0.06,0.12,-0.69,-1.47,0.0,-0.86,3,0,0,0,0,0,1,3,11,0
3.5,3,0,0,0,0,0,1,0.17,0,0,2.5,0.45,1.93,-0.66,0.19,0.0,0.0,0.7,-0.17,2.13,0.18,0.68,8,1,0,0,0,0,0,3,11,1
4.47,3,0,0,0,0,1,0,-0.86,1,0,0.0,4.39,0.21,-0.56,0.2,0.14,0.1,0.23,0.87,-0.39,0.18,-0.55,8,0,0,0,0,0,0,3,11,0
3.69,3,0,0,0,0,0,1,-0.99,1,0,2.5,0.25,0.01,-0.64,0.01,0.04,0.0,0.06,-0.69,-1.11,0.0,-1.17,7,0,0,0,0,0,0,3,11,0
3.88,2,0,0,0,0,0,1,-1.1,1,0,2.5,4.39,0.08,-0.54,0.06,0.14,0.0,0.32,0.35,-0.39,0.0,-0.86,7,0,0,0,0,0,0,3,11,0
3.4,4,0,0,0,0,0,1,-0.51,0,0,2.5,2.83,0.38,-0.23,0.13,0.66,0.42,1.23,-0.69,-0.75,0.89,-0.86,3,0,0,0,0,0,0,3,11,0
4.56,3,1,0,0,0,0,0,1.16,0,0,5.0,0.91,0.55,-0.08,1.23,0.52,1.24,1.05,-0.69,-0.39,1.79,2.22,1,0,0,0,0,0,0,3,11,0
3.25,3,0,0,0,0,0,1,-0.87,1,1,2.5,4.8,0.06,-0.46,0.04,0.19,0.08,0.04,-0.17,-1.11,0.0,-0.55,7,0,0,0,0,0,0,3,11,0
3.74,4,0,0,0,0,0,1,-0.61,1,1,2.5,2.42,0.44,-0.66,0.05,0.0,0.0,0.07,1.38,-0.39,0.18,-0.55,7,0,1,0,0,0,0,3,11,0
3.11,3,0,0,0,0,1,0,-0.05,0,1,5.0,0.15,0.98,-0.51,0.11,0.0,0.06,0.47,0.87,0.69,0.18,0.06,7,0,1,0,1,0,0,3,11,1
3.88,3,0,0,0,0,0,1,1.09,0,0,5.0,3.54,1.17,0.85,1.65,2.12,2.53,2.0,-0.69,0.33,1.07,0.37,2,0,0,1,0,0,0,3,11,0
3.59,3,0,0,0,0,0,1,0.1,0,1,5.0,3.99,0.45,-0.44,0.11,0.08,0.0,0.1,-0.69,-0.75,0.36,-0.24,2,0,0,0,0,0,0,3,11,0
3.11,5,0,0,0,0,0,1,-2.02,2,1,0.0,0.2,0.77,0.39,0.56,0.95,0.7,0.73,5.01,1.05,0.36,0.68,9,0,0,0,0,0,0,3,11,0
3.11,3,0,0,0,0,1,0,-2.02,1,1,5.0,2.27,0.02,-0.66,0.02,0.04,0.0,0.01,-0.69,-1.11,0.0,-1.17,7,0,0,0,0,0,0,3,11,0
3.88,4,0,0,0,0,0,1,-2.02,0,0,2.5,4.39,1.49,0.27,1.04,1.89,0.53,0.25,-0.69,-0.75,0.71,0.68,1,0,0,0,0,0,0,3,11,0
3.83,4,0,0,0,0,1,0,-0.36,1,0,5.0,3.48,0.05,-0.61,0.03,0.0,0.02,0.06,-0.69,-1.11,0.0,-0.86,7,0,0,0,0,0,0,3,11,0
3.74,5,0,0,0,0,0,1,-1.1,1,0,5.0,4.24,0.09,-0.61,0.04,0.0,0.0,0.0,0.35,-0.39,0.18,-0.86,5,0,0,0,0,0,0,3,11,0
4.37,3,0,0,0,0,0,1,-0.84,1,0,5.0,1.52,0.02,-0.59,0.03,0.23,0.1,0.12,-0.69,-0.75,0.0,-0.86,6,0,0,0,0,0,0,3,11,0
3.25,3,0,1,0,0,0,0,-0.15,0,1,0.0,3.64,1.69,-0.66,0.08,0.0,0.0,1.04,1.38,1.05,0.71,0.06,6,0,1,0,0,0,0,3,11,0
3.83,3,1,0,0,0,0,0,0.0,1,1,2.5,1.87,0.17,-0.61,0.02,0.0,0.02,0.03,-0.17,-0.75,0.0,-0.86,7,0,0,0,0,0,0,3,11,0
2.82,2,0,0,0,0,0,1,1.05,0,0,2.5,2.22,0.69,-0.01,1.3,1.45,0.0,3.08,-0.69,0.33,1.25,1.91,2,0,0,0,1,0,0,3,11,0
4.37,5,0,0,0,0,0,1,-0.06,0,0,2.5,1.62,0.45,0.5,0.27,1.25,1.16,0.15,-0.17,0.33,0.36,0.37,5,0,0,0,0,0,0,3,11,0
3.25,2,0,0,0,0,1,0,-0.15,0,1,2.5,0.0,0.18,-0.64,0.01,0.04,0.02,0.14,-0.17,-0.75,0.0,-0.86,8,0,0,0,0,0,0,3,11,0
3.2,5,0,0,0,0,1,0,-0.67,0,1,5.0,2.17,0.14,-0.64,0.02,0.04,0.0,0.07,-0.17,-0.75,0.0,-0.86,6,0,0,0,0,0,0,3,11,0
4.17,3,0,0,0,0,0,1,1.33,0,1,2.5,2.98,1.29,3.66,0.53,3.57,2.51,1.53,-0.17,1.77,0.89,1.6,5,0,0,0,0,0,0,3,11,0
2.52,5,0,0,0,0,0,1,0.55,0,0,2.5,3.43,1.88,1.38,0.8,1.54,0.76,1.12,-0.69,0.69,0.54,0.06,4,0,0,0,0,0,0,3,11,0
3.2,3,0,0,0,0,0,1,1.39,0,0,5.0,1.77,0.73,1.25,2.0,0.97,0.49,0.52,-0.69,-0.39,1.96,-0.24,1,0,0,0,0,0,0,3,11,1
4.17,1,0,0,0,0,0,1,-1.06,1,0,2.5,4.75,0.0,-0.59,0.02,0.19,0.0,0.12,-0.69,-1.11,0.0,-0.86,5,0,0,0,0,0,0,3,11,0
3.45,3,0,0,0,0,0,1,-0.1,1,1,2.5,0.76,0.48,-0.64,0.09,0.04,0.02,0.1,0.87,-0.03,0.18,-0.55,7,0,0,0,0,0,0,3,11,0
3.69,3,0,0,0,0,0,1,0.03,0,2,2.5,2.83,0.99,2.0,0.79,1.45,1.86,0.9,0.87,0.69,0.71,1.91,6,0,0,0,0,0,0,3,11,0
4.13,3,0,0,0,0,1,0,-0.51,1,0,0.0,0.86,0.25,-0.59,0.09,0.08,0.08,0.37,-0.17,-0.39,0.18,-0.86,7,0,0,0,0,0,0,3,11,0
3.25,4,0,0,0,0,0,1,1.46,0,0,0.0,0.91,1.52,4.22,0.31,0.6,0.42,0.59,-0.69,0.33,0.71,-0.55,2,0,0,0,0,0,0,3,11,0
4.17,3,0,0,0,0,0,1,1.0,0,1,2.5,2.32,1.42,2.23,0.85,0.44,0.67,1.09,-0.69,0.69,1.07,1.6,3,0,0,0,0,0,0,3,11,0
4.76,5,0,0,0,0,1,0,0.64,0,0,0.0,2.02,4.46,-0.23,0.9,0.44,0.97,1.19,-0.69,1.05,0.71,-0.24,9,0,1,0,0,0,0,3,11,1
3.4,4,0,0,0,0,0,1,0.22,0,1,5.0,1.36,1.76,-0.66,0.06,0.0,0.0,0.83,0.35,1.41,0.18,0.68,6,0,1,0,0,0,0,3,11,0
4.76,3,0,0,0,0,1,0,1.34,0,0,2.5,4.8,1.64,0.45,0.36,0.56,0.38,0.3,-0.69,0.69,1.25,1.6,3,0,1,1,0,0,0,3,11,1
4.22,5,0,0,0,0,0,1,-0.3,1,0,0.0,0.96,1.27,-0.66,0.29,0.0,0.0,0.99,1.38,0.69,0.71,0.06,7,0,0,0,0,0,0,3,11,0
3.35,3,0,0,0,0,1,0,-0.04,1,1,2.5,1.36,0.21,-0.64,0.06,0.0,0.02,0.37,-0.17,-0.75,0.18,-0.86,6,0,0,0,0,0,0,3,11,0
3.74,3,0,0,0,0,0,1,1.53,0,0,5.0,1.26,1.83,1.83,2.35,2.92,1.56,0.46,-1.2,-0.03,1.07,-0.24,1,0,0,1,1,0,0,3,11,0
4.13,2,0,0,0,0,0,1,-0.59,1,0,2.5,3.74,0.16,1.6,0.27,2.37,1.96,1.66,1.38,1.77,0.18,-0.24,9,0,0,0,0,0,0,3,11,0
3.59,2,0,0,0,0,0,1,-0.82,1,1,2.5,4.29,0.04,-0.54,0.07,0.0,0.17,0.41,-0.17,-1.11,0.18,-0.86,5,0,0,0,0,0,0,3,11,0
3.69,3,0,0,0,0,0,1,-1.16,1,0,2.5,1.87,0.0,-0.51,0.02,0.21,0.1,0.04,-0.17,-0.75,0.0,-0.86,6,0,0,0,0,0,0,3,11,0
2.91,4,0,0,0,0,0,1,0.17,0,1,2.5,3.28,1.07,0.55,0.39,0.75,1.37,0.66,0.87,0.69,0.36,1.3,4,0,0,0,0,0,0,3,11,0
3.59,4,0,0,0,0,1,0,-0.75,1,0,5.0,0.66,0.11,-0.59,0.08,0.0,0.08,0.14,0.35,-0.75,0.18,-0.86,5,0,0,0,0,0,0,3,11,1
4.47,4,0,0,0,0,0,1,-1.26,2,0,2.5,3.18,0.03,-0.66,0.02,0.06,0.08,0.1,-0.17,-1.11,0.0,-0.86,7,0,0,0,0,0,0,3,11,0
4.03,3,1,0,0,0,0,0,-0.81,1,0,2.5,4.19,0.06,-0.66,0.04,0.14,0.06,0.03,-0.69,-1.11,0.0,-0.86,7,0,0,0,0,0,0,3,11,0
4.37,3,0,0,0,0,1,0,1.96,0,0,2.5,3.48,2.42,0.02,0.3,0.85,1.37,2.32,-1.2,0.69,1.43,2.22,2,0,1,1,1,0,0,3,11,1
3.5,2,0,0,0,0,0,1,0.77,0,0,2.5,4.39,0.54,0.17,0.36,0.77,0.53,2.38,-0.17,-0.39,0.71,0.37,1,0,0,0,0,0,0,3,11,0
4.42,3,0,0,0,0,1,0,1.09,0,0,2.5,1.87,1.51,2.68,2.76,3.34,0.0,2.98,-0.69,-0.39,1.07,0.06,1,0,0,0,0,0,0,3,11,1
2.91,4,0,0,0,0,0,1,0.1,1,1,5.0,2.58,0.23,-0.66,0.05,0.0,0.0,0.06,-0.17,-0.75,0.0,-0.55,6,0,0,0,0,0,0,3,11,0
3.3,5,0,0,0,0,0,1,-2.02,0,1,2.5,1.16,1.18,-0.66,0.08,0.19,0.0,0.21,0.35,0.69,0.18,0.37,6,0,0,0,0,0,0,3,11,0
3.06,5,0,0,0,0,0,1,1.0,1,1,5.0,3.64,1.65,-0.18,0.32,0.31,0.23,0.17,0.87,0.69,0.54,1.3,4,0,0,0,0,0,0,3,11,0
2.86,3,0,0,0,0,0,1,0.44,0,1,2.5,0.51,0.4,0.8,0.21,1.25,1.69,0.8,1.38,0.33,0.71,-0.24,5,0,0,0,0,0,0,3,11,0
3.16,4,0,0,0,0,1,0,0.38,1,1,2.5,2.12,1.79,-0.54,0.14,0.0,0.1,0.57,1.38,2.49,0.18,0.06,8,0,0,0,0,0,0,3,11,0
3.69,3,0,0,0,0,0,1,0.85,0,0,5.0,0.51,0.79,2.0,0.55,0.44,0.78,1.8,-0.69,1.05,0.36,0.99,4,0,0,0,0,0,0,3,11,0
3.4,3,0,0,0,0,0,1,-2.02,0,1,2.5,4.85,0.77,0.97,0.57,0.73,1.35,1.71,-0.69,0.69,0.89,0.37,4,0,0,0,0,0,0,3,11,0
3.45,5,0,0,0,0,0,1,-0.4,1,1,2.5,2.58,0.74,-0.66,0.1,0.06,0.0,0.32,1.38,0.33,0.18,-0.24,8,0,0,0,0,0,0,3,11,0
3.59,5,0,0,0,0,0,1,0.44,0,0,2.5,1.06,2.67,-0.31,1.71,0.73,0.84,0.0,-0.69,-0.03,0.89,2.22,3,0,1,0,0,0,0,3,11,0
4.03,1,1,0,0,0,0,0,-1.65,1,0,0.0,1.57,0.0,-0.64,0.01,0.19,0.11,0.12,-0.17,-1.11,0.0,-0.86,8,0,0,0,0,0,0,3,11,0
3.2,5,0,0,0,0,0,1,-0.7,2,1,2.5,3.08,0.18,-0.64,0.1,0.04,0.0,0.22,0.35,-0.75,0.36,-1.17,8,0,0,0,0,0,0,3,11,0
3.88,5,0,0,0,0,1,0,-0.62,1,1,5.0,1.87,0.05,-0.66,0.02,0.08,0.04,0.28,-0.17,-1.11,0.18,-1.17,5,1,0,0,0,0,0,3,11,1
